created_at,,rating,review_text
2026-02-17,,5,"If you're in Lexington, try BEGINNER COOKING at Pinecrest YMCA. the pacing was great and I left feeling energized Easy 5 stars. Great for families."
2026-01-29,,1,POWER HOUR at Summit Reach YMCA in Pittsfield was disappointing—the facility felt busy and a bit chaotic. Not sure I’d return. Parking was a hassle.
2026-02-26,,5,"If you're in Framingham, try SALSA / LATIN DANCE. the space/pool was clean and comfortable Easy 5 stars. Loved the community vibe."
2026-01-14,,3,"BEGINNER DRAWING at Harborlight YMCA in Salem was okay. good for a first try, not sure it’s my favorite Might try a different time slot. Might try the morning slot next time."
2026-04-08,,4,Riverstone YMCA nailed it with SENIOR CIRCUITS. the pacing was great and I left feeling energized Great energy and well-run session. Nice mix of ages in the group.
2025-12-21,,4,Took SKETCHING at Seabrook Commons YMCA (Plymouth) and it exceeded expectations. I appreciated the modifications and coaching Front desk was helpful.
2026-02-02,,1,Not a great session of CARDIO DANCE at Pinecrest YMCA. I couldn't hear the cues well. Check-in line moved slowly.
2026-03-27,,3,"CARDIO STRENGTH at Seabrook Commons YMCA in Plymouth was okay. worth doing, but I expected more variety Might try a different time slot. Would go again with friends."
2026-02-08,,4,Loved BOOT CAMP at Summit Reach YMCA in Pittsfield—it felt fun and effective without being too hard. Would definitely come back. Front desk was helpful.
2026-02-21,,5,Big fan of AQUA PILATES at Summit Reach YMCA. the music and cues were on point Staff were friendly and the schedule was smooth. Front desk was helpful.
2026-02-03,,4,Big fan of SENIOR CIRCUITS at Seabrook Commons YMCA. I appreciated the modifications and coaching Staff were friendly and the schedule was smooth. Nice mix of ages in the group.
2026-02-03,,2,Harborlight YMCA felt off during SALSA / LATIN DANCE: it started late and felt rushed. Would prefer smaller groups.
2026-01-08,,1,Harborlight YMCA felt off during HEALTHY COOKING: the session felt more intense than advertised. Parking was a hassle.
2026-04-03,,5,Pinecrest YMCA nailed it with POWER HOUR. the space/pool was clean and comfortable Great energy and well-run session. Parking was easy.
2026-01-07,,5,Harborlight YMCA nailed it with ARTHRITIS AQUA FITNESS. it felt fun and effective without being too hard Great energy and well-run session. Nice mix of ages in the group.
2026-02-01,,1,Not a great session of CARDIO STRENGTH. the session felt more intense than advertised. Parking was a hassle.
2026-01-14,,3,"Decent SENIOR CIRCUITS—liked it, but the start was a bit delayed. Might try the morning slot next time."
2026-04-07,,1,Not a great session of BOOT CAMP at Seabrook Commons YMCA. the facility felt busy and a bit chaotic. Felt hectic after school hours.
2026-02-13,,2,SALSA / LATIN DANCE at Riverstone YMCA in Framingham was disappointing—the room was overcrowded and hard to follow. Not sure I’d return. Check-in line moved slowly.
2026-01-06,,5,"If you're in Framingham, try BEGINNER DRAWING at Riverstone YMCA. I appreciated the modifications and coaching Easy 5 stars. Loved the community vibe."
2026-02-28,,3,"Mixed feelings about BEGINNER DRAWING (Lexington). great concept, uneven execution today Might try the morning slot next time."
2026-01-10,,2,Had a rough experience with AQUA CARDIO at Seabrook Commons YMCA. the water/room temperature was uncomfortable Needs improvement. Wish there were clearer signs.
2026-01-05,,2,Wanted to like AQUA PILATES at Riverstone YMCA (Framingham) but staff communication at check-in was confusing. Check-in line moved slowly.
2026-01-05,,5,Summit Reach YMCA nailed it with BOOT CAMP. the pacing was great and I left feeling energized Great energy and well-run session. Nice mix of ages in the group.
2026-04-08,,2,Riverstone YMCA felt off during CARDIO DANCE: the facility felt busy and a bit chaotic. Check-in line moved slowly.
2026-02-16,,4,Loved a class at Harborlight YMCA in Salem—the music and cues were on point. Would definitely come back. Nice mix of ages in the group.
2026-01-10,,4,Big fan of ARTHRITIS AQUA FITNESS. the class was organized and started on time Staff were friendly and the schedule was smooth. Nice mix of ages in the group.
2026-02-10,,1,Riverstone YMCA felt off during AQUA ZUMBA: it didn’t match the description on the schedule. Felt hectic after school hours.
2026-01-22,,4,Took AQUA FIT at Riverstone YMCA (Framingham) and it exceeded expectations. the class was organized and started on time Nice mix of ages in the group.
2026-04-03,,5,Seabrook Commons YMCA nailed it with AQUA FIT. the space/pool was clean and comfortable Great energy and well-run session. Great for families.
2026-02-04,,2,AQUA PILATES at Seabrook Commons YMCA in Plymouth was disappointing—staff communication at check-in was confusing. Not sure I’d return. Check-in line moved slowly.
2026-01-30,,2,Had a rough experience with SENIOR CIRCUITS at Summit Reach YMCA. instructions were unclear for beginners Needs improvement. Would prefer smaller groups.
2026-01-21,,5,Big fan of AQUA CARDIO at Riverstone YMCA. it was the perfect intensity for me Staff were friendly and the schedule was smooth. Parking was easy.
2026-03-31,,3,"Mixed feelings about POWER HOUR at Seabrook Commons YMCA (Plymouth). enjoyed it overall, just wish it was less crowded Probably better on weekends."
2026-01-31,,2,Seabrook Commons YMCA felt off during a class: it didn’t match the description on the schedule. Would prefer smaller groups.
2026-02-19,,4,Summit Reach YMCA nailed it with POWER HOUR. it felt fun and effective without being too hard Great energy and well-run session. Great for families.
2026-04-03,,1,Had a rough experience with BEGINNER COOKING at Harborlight YMCA. the facility felt busy and a bit chaotic Needs improvement. Parking was a hassle.
2026-02-16,,4,Big fan of AQUA PILATES at Riverstone YMCA. the space/pool was clean and comfortable Staff were friendly and the schedule was smooth. Front desk was helpful.
2026-01-16,,5,Loved AQUA FIT at Seabrook Commons YMCA in Plymouth—it felt fun and effective without being too hard. Would definitely come back. Parking was easy.
2026-01-09,,3,"Decent BOOT CAMP at Seabrook Commons YMCA—enjoyed it overall, just wish it was less crowded. Still glad I tried it."
2026-03-11,,4,Harborlight YMCA nailed it with AQUA ZUMBA. the instructor explained everything clearly Great energy and well-run session. Great for families.
2026-03-01,,3,"Decent BOOT CAMP BURN at Riverstone YMCA—some parts were excellent, others felt disorganized. Probably better on weekends."
2026-01-07,,2,Not a great session of CARDIO DANCE at Summit Reach YMCA. the water/room temperature was uncomfortable. Would prefer smaller groups.
2025-12-19,,4,Loved a class at Harborlight YMCA in Salem—the class was organized and started on time. Would definitely come back. Parking was easy.
2026-01-12,,5,Riverstone YMCA nailed it with ARTHRITIS AQUA FITNESS. it was the perfect intensity for me Great energy and well-run session. Front desk was helpful.
2026-03-07,,1,Had a rough experience with BEGINNER COOKING at Riverstone YMCA. instructions were unclear for beginners Needs improvement. Check-in line moved slowly.
2026-02-19,,5,Pinecrest YMCA nailed it with SKETCHING. the pacing was great and I left feeling energized Great energy and well-run session. Front desk was helpful.
2026-04-09,,5,Pinecrest YMCA nailed it with HEALTHY COOKING. it was the perfect intensity for me Great energy and well-run session. Great for families.
2026-01-06,,5,"If you're in Lexington, try SENIOR CIRCUITS at Pinecrest YMCA. the instructor explained everything clearly Easy 5 stars. Parking was easy."
2025-12-25,,3,"Mixed feelings about AQUA FIT at Summit Reach YMCA (Pittsfield). some parts were excellent, others felt disorganized Probably better on weekends."
2026-03-24,,1,Wanted to like ARTHRITIS AQUA FITNESS (Plymouth) but instructions were unclear for beginners. Felt hectic after school hours.
2025-12-23,,5,Loved LINE DANCING in Lexington—it felt fun and effective without being too hard. Would definitely come back. Front desk was helpful.
2026-03-04,,1,Had a rough experience with SKETCHING at Seabrook Commons YMCA. the facility felt busy and a bit chaotic Needs improvement. Check-in line moved slowly.
2026-01-24,,1,Not a great session of ARTHRITIS AQUA FITNESS at Riverstone YMCA. I couldn't hear the cues well. Parking was a hassle.
2026-01-08,,1,Wanted to like LINE DANCING at Summit Reach YMCA (Pittsfield) but it didn’t match the description on the schedule. Check-in line moved slowly.
2025-12-28,,5,Big fan of CARDIO STRENGTH at Pinecrest YMCA. it was the perfect intensity for me Staff were friendly and the schedule was smooth. Great for families.
2025-12-20,,1,Not a great session of BOOT CAMP BURN at Riverstone YMCA. it didn’t match the description on the schedule. Check-in line moved slowly.
2025-12-17,,3,"Decent CARDIO DANCE at Riverstone YMCA—liked it, but the start was a bit delayed. Still glad I tried it."
2025-12-23,,1,Wanted to like AQUA FIT at Pinecrest YMCA (Lexington) but the session felt more intense than advertised. Parking was a hassle.
2026-01-20,,2,Not a great session of AQUA CARDIO at Riverstone YMCA. there wasn't enough equipment/space. Felt hectic after school hours.
2026-01-07,,2,Wanted to like AQUA INTERVALS at Harborlight YMCA (Salem) but staff communication at check-in was confusing. Parking was a hassle.
2026-02-11,,1,Harborlight YMCA felt off during a class: it didn’t match the description on the schedule. Check-in line moved slowly.
2026-02-17,,1,Had a rough experience with a class at Riverstone YMCA. staff communication at check-in was confusing Needs improvement. Parking was a hassle.
2026-02-05,,3,"AQUA FIT at Summit Reach YMCA in Pittsfield was okay. solid session, but equipment setup took too long Might try a different time slot. Still glad I tried it."
2026-02-10,,5,Big fan of AQUA PILATES at Summit Reach YMCA. the class was organized and started on time Staff were friendly and the schedule was smooth. Loved the community vibe.
2026-03-16,,5,"If you're in Lexington, try SALSA / LATIN DANCE at Pinecrest YMCA. I appreciated the modifications and coaching Easy 5 stars. Parking was easy."
2026-02-03,,5,Loved ARTHRITIS AQUA FITNESS at Seabrook Commons YMCA in Plymouth—I appreciated the modifications and coaching. Would definitely come back. Parking was easy.
2026-03-02,,5,Took BEGINNER COOKING at Seabrook Commons YMCA (Plymouth) and it exceeded expectations. the pacing was great and I left feeling energized Parking was easy.
2026-01-16,,4,"If you're in Lexington, try SALSA / LATIN DANCE at Pinecrest YMCA. it felt fun and effective without being too hard Easy 5 stars. Loved the community vibe."
2026-01-19,,1,Not a great session of BOOT CAMP. the session felt more intense than advertised. Felt hectic after school hours.
2026-02-22,,5,Took CARDIO STRENGTH at Seabrook Commons YMCA (Plymouth) and it exceeded expectations. the space/pool was clean and comfortable Loved the community vibe.
2025-12-26,,1,SALSA / LATIN DANCE at Pinecrest YMCA in Lexington was disappointing—the room was overcrowded and hard to follow. Not sure I’d return. Parking was a hassle.
2026-02-27,,1,Wanted to like SALSA / LATIN DANCE at Summit Reach YMCA (Pittsfield) but it started late and felt rushed. Parking was a hassle.
2026-03-04,,5,Loved CARDIO DANCE at Pinecrest YMCA in Lexington—it felt fun and effective without being too hard. Would definitely come back. Parking was easy.
2026-01-04,,4,Loved AQUA PILATES in Salem—the vibe was welcoming and not intimidating. Would definitely come back. Loved the community vibe.
2026-02-13,,5,"If you're in Pittsfield, try BEGINNER DRAWING. it was the perfect intensity for me Easy 5 stars. Loved the community vibe."
2026-01-04,,3,Mixed feelings about BOOT CAMP BURN at Harborlight YMCA (Salem). good instructor but the class size was big Could be amazing with small tweaks.
2025-12-22,,2,Had a rough experience with AQUA ZUMBA at Harborlight YMCA. I couldn't hear the cues well Needs improvement. Wish there were clearer signs.
2026-02-19,,2,Pinecrest YMCA felt off during LINE DANCING: the water/room temperature was uncomfortable. Would prefer smaller groups.
2026-01-02,,1,Pinecrest YMCA felt off during BOOT CAMP BURN: it started late and felt rushed. Would prefer smaller groups.
2026-01-13,,5,Big fan of CIRCUIT CARDIO & STRENGTH at Pinecrest YMCA. the space/pool was clean and comfortable Staff were friendly and the schedule was smooth. Front desk was helpful.
2025-12-15,,5,Took AQUA PILATES at Harborlight YMCA (Salem) and it exceeded expectations. it was the perfect intensity for me Front desk was helpful.
2026-03-19,,2,CARDIO DANCE at Pinecrest YMCA in Lexington was disappointing—staff communication at check-in was confusing. Not sure I’d return. Felt hectic after school hours.
2026-04-15,,1,Wanted to like AQUA FIT at Summit Reach YMCA (Pittsfield) but staff communication at check-in was confusing. Check-in line moved slowly.
2026-02-28,,2,Had a rough experience with AQUA PILATES at Harborlight YMCA. the facility felt busy and a bit chaotic Needs improvement. Parking was a hassle.
2026-01-03,,5,Took HEALTHY COOKING at Seabrook Commons YMCA (Plymouth) and it exceeded expectations. the instructor explained everything clearly Front desk was helpful.
2025-12-27,,1,LINE DANCING at Summit Reach YMCA in Pittsfield was disappointing—the room was overcrowded and hard to follow. Not sure I’d return. Check-in line moved slowly.
2026-02-28,,1,Riverstone YMCA felt off during BEGINNER DRAWING: it didn’t match the description on the schedule. Check-in line moved slowly.
2026-02-11,,4,"If you're in Plymouth, try SALSA / LATIN DANCE at Seabrook Commons YMCA. the instructor explained everything clearly Easy 5 stars. Loved the community vibe."
2026-03-02,,3,"AQUA ZUMBA at Pinecrest YMCA in Lexington was okay. nice workout, but timing felt a little tight Might try a different time slot. Still glad I tried it."
2026-04-11,,2,Had a rough experience with CIRCUIT CARDIO & STRENGTH at Pinecrest YMCA. the session felt more intense than advertised Needs improvement. Parking was a hassle.
2026-02-04,,5,Riverstone YMCA nailed it with HEALTHY COOKING. the instructor explained everything clearly Great energy and well-run session. Parking was easy.
2026-03-02,,2,Had a rough experience with ARTHRITIS AQUA FITNESS at Riverstone YMCA. staff communication at check-in was confusing Needs improvement. Wish there were clearer signs.
2026-01-28,,4,"If you're in Lexington, try CIRCUIT CARDIO & STRENGTH at Pinecrest YMCA. I appreciated the modifications and coaching Easy 5 stars. Parking was easy."
2026-02-14,,3,"Mixed feelings about SKETCHING at Summit Reach YMCA (Pittsfield). enjoyed it overall, just wish it was less crowded Probably better on weekends."
2026-02-18,,3,"ARTHRITIS AQUA FITNESS at Riverstone YMCA in Framingham was okay. fun format, though the cues could be clearer Might try a different time slot. Still glad I tried it."
2026-04-13,,2,Not a great session of SKETCHING at Summit Reach YMCA. I couldn't hear the cues well. Check-in line moved slowly.
2026-01-16,,3,"Decent BEGINNER COOKING at Harborlight YMCA—nice workout, but timing felt a little tight. Probably better on weekends."
